"balance_transaction_id","created_utc","available_on_utc","currency","gross","fee","net","reporting_category","description"
"txn_1DoqxGFRfR20eY7xszYebzzE","2019-01-04 11:35:10","2019-01-11 00:00:00","gbp","290.00","4.26","285.74","charge","Holiday Academy - Order 31415"
"txn_1Dq5pzFRfR20eY7xX9DeoD3B","2019-01-07 21:40:46","2019-01-14 00:00:00","gbp","225.00","3.35","221.65","charge","Holiday Academy - Order 31428"
"txn_1DqdBSFRfR20eY7xJO30UsZT","2019-01-09 09:17:09","2019-01-16 00:00:00","gbp","88.00","1.43","86.57","charge","Holiday Academy - Order 31442"
"txn_1DqgGnFRfR20eY7xN2NMBXqL","2019-01-09 12:34:52","2019-01-16 00:00:00","gbp","220.00","3.28","216.72","charge","Holiday Academy - Order 31454"
"txn_1DqlbpFRfR20eY7x96Bf43zr","2019-01-09 18:16:56","2019-01-16 00:00:00","gbp","132.00","2.05","129.95","charge","Holiday Academy - Order 31460"
"txn_1DqnieFRfR20eY7xB68qs3KP","2019-01-09 20:32:07","2019-01-16 00:00:00","gbp","144.00","2.22","141.78","charge","Holiday Academy - Order 31463"
"txn_1DqoyYFRfR20eY7xUKcxtjn6","2019-01-09 21:52:37","2019-01-16 00:00:00","gbp","240.00","3.56","236.44","charge","Holiday Academy - Order 31474"
"txn_1Dr0exFRfR20eY7xMuk9KMaz","2019-01-10 10:21:11","2019-01-17 00:00:00","gbp","44.00","0.82","43.18","charge","Holiday Academy - Order 31478"
"txn_1DrF1aFRfR20eY7xIlCs2MQm","2019-01-11 01:41:29","2019-01-18 00:00:00","gbp","288.00","8.55","279.45","charge","Holiday Academy - Order 31498"
"txn_1DrLgVFRfR20eY7x5GA4sblr","2019-01-11 08:48:10","2019-01-18 00:00:00","gbp","240.00","3.56","236.44","charge","Holiday Academy - Order 31502"
"txn_1DrNsLFRfR20eY7xE76eFTbb","2019-01-11 11:08:32","2019-01-18 00:00:00","gbp","176.00","2.66","173.34","charge","Holiday Academy - Order 31505"
"txn_1DsEqtFRfR20eY7xiSodw3G9","2019-01-13 19:42:34","2019-01-20 00:00:00","gbp","96.00","1.54","94.46","charge","Holiday Academy - Order 31534"
"txn_1DsEzxFRfR20eY7xzPFQ2xN4","2019-01-13 19:51:56","2019-01-20 00:00:00","gbp","160.00","2.44","157.56","charge","Holiday Academy - Order 31537"
"txn_1DsF51FRfR20eY7xwnpRZLbS","2019-01-13 19:57:10","2019-01-20 00:00:00","gbp","96.00","1.54","94.46","charge","Holiday Academy - Order 31540"
"txn_1DsUIZFRfR20eY7x0EsN8v0d","2019-01-14 12:12:10","2019-01-21 00:00:00","gbp","220.00","3.28","216.72","charge","Holiday Academy - Order 31545"
"txn_1DsdyXFRfR20eY7xIV0sKtYU","2019-01-14 22:32:08","2019-01-21 00:00:00","gbp","132.00","2.05","129.95","charge","Holiday Academy - Order 31550"
"txn_1DselWFRfR20eY7xJXcB1Sdb","2019-01-14 23:22:45","2019-01-21 00:00:00","gbp","144.00","2.22","141.78","charge","Holiday Academy - Order 31553"
"txn_1DspQgFRfR20eY7xybmH9kXA","2019-01-15 10:45:56","2019-01-22 00:00:00","gbp","144.00","2.22","141.78","charge","Holiday Academy - Order 31559"
"txn_1Dsvd3FRfR20eY7x9rOwaBQE","2019-01-15 17:23:09","2019-01-22 00:00:00","gbp","237.50","3.53","233.97","charge","Holiday Academy - Order 31587"
"txn_1DswOBFRfR20eY7xJcSPJg8D","2019-01-15 18:11:50","2019-01-22 00:00:00","gbp","456.00","6.58","449.42","charge","Holiday Academy - Order 31593"
"txn_1DtXhDFRfR20eY7xbp7vclPo","2019-01-17 10:01:59","2019-01-17 10:01:59","gbp","-60.00","-1.04","-58.96","refund","REFUND FOR CHARGE (Holiday Academy - Order 31231)"
"txn_1DtYLWFRfR20eY7xLDpogvye","2019-01-17 10:43:38","2019-01-17 10:43:38","gbp","-85.50","-1.20","-84.30","refund","REFUND FOR CHARGE (Holiday Academy - Order 31319)"
"txn_1DtiP6FRfR20eY7x8SAhAe1C","2019-01-17 21:27:59","2019-01-24 00:00:00","gbp","627.00","8.98","618.02","charge","Holiday Academy - Order 31617"
"txn_1Dtk4oFRfR20eY7xGIXDRV1p","2019-01-17 23:15:09","2019-01-24 00:00:00","gbp","240.00","3.56","236.44","charge","Holiday Academy - Order 31623"
"txn_1DuRJiFRfR20eY7xbhWm251Q","2019-01-19 21:25:25","2019-01-26 00:00:00","gbp","275.00","4.05","270.95","charge","Holiday Academy - Order 31636"
"txn_1DuwwmFRfR20eY7xKbrrQ3qU","2019-01-21 07:11:51","2019-01-28 00:00:00","gbp","180.00","2.72","177.28","charge","Holiday Academy - Order 31643"
"txn_1DvMlIFRfR20eY7xjIAa4f1P","2019-01-22 10:45:43","2019-01-29 00:00:00","gbp","165.00","2.51","162.49","charge","Holiday Academy - Order 31659"
"txn_1DvXlRFRfR20eY7x0jQwHG0P","2019-01-22 22:30:36","2019-01-29 00:00:00","gbp","250.00","3.70","246.30","charge","Holiday Academy - Order 31666"
"txn_1DwFBEFRfR20eY7xhLOcZdeM","2019-01-24 20:52:08","2019-01-24 20:52:08","gbp","-118.80","-1.67","-117.13","refund","REFUND FOR CHARGE (Holiday Academy - Order 31460)"
"txn_1DwFOsFRfR20eY7xq1ts55UU","2019-01-24 21:06:13","2019-01-31 00:00:00","gbp","220.00","3.28","216.72","charge","Holiday Academy - Order 31679"
"txn_1DwYpuFRfR20eY7x3MeevTI6","2019-01-25 17:51:24","2019-02-01 00:00:00","gbp","165.00","2.51","162.49","charge","Holiday Academy - Order 31693"
