"payout_id","effective_at_utc","currency","gross","fee","net","reporting_category","balance_transaction_id","description","payout_expected_arrival_date","payout_status"
"po_1DpRCfFRfR20eY7xbhZvkz7z","2019-01-11 00:00:00","gbp","285.74","0.00","285.74","payout","txn_1DpRCfFRfR20eY7xy0XbCdKL","STRIPE PAYOUT","2019-01-11 00:00:00","paid"
"po_1DqVtSFRfR20eY7xZ1XXHAKq","2019-01-14 00:00:00","gbp","221.65","0.00","221.65","payout","txn_1DqVtSFRfR20eY7xYnxAnVFK","STRIPE PAYOUT","2019-01-14 00:00:00","paid"
"po_1DrEUUFRfR20eY7xjMtdieoL","2019-01-16 00:00:00","gbp","811.46","0.00","811.46","payout","txn_1DrEUUFRfR20eY7xkAOYpkLN","STRIPE PAYOUT","2019-01-16 00:00:00","paid"
"po_1DrbMoFRfR20eY7xKf4JwHup","2019-01-17 00:00:00","gbp","43.18","0.00","43.18","payout","txn_1DrbMoFRfR20eY7xEzMpS8oV","STRIPE PAYOUT","2019-01-17 00:00:00","paid"
"po_1DryMkFRfR20eY7x2jCVn9nC","2019-01-18 00:00:00","gbp","689.23","0.00","689.23","payout","txn_1DryMkFRfR20eY7xq67arpHy","STRIPE PAYOUT","2019-01-18 00:00:00","paid"
"po_1DsgdWFRfR20eY7xkzVQ6m7u","2019-01-20 00:00:00","gbp","346.48","0.00","346.48","payout","txn_1DsgdWFRfR20eY7x0ctpL713","STRIPE PAYOUT","2019-01-21 00:00:00","paid"
"po_1Dt2t4FRfR20eY7xnV7qimC5","2019-01-21 00:00:00","gbp","488.45","0.00","488.45","payout","txn_1Dt2t4FRfR20eY7xIh1TjPIk","STRIPE PAYOUT","2019-01-21 00:00:00","paid"
"po_1DtPVAFRfR20eY7xazkEbCsB","2019-01-22 00:00:00","gbp","825.17","0.00","825.17","payout","txn_1DtPVAFRfR20eY7xqr4vEcK5","STRIPE PAYOUT","2019-01-22 00:00:00","paid"
"po_1Dtm1nFRfR20eY7xe6vSoLwZ","2019-01-23 00:00:00","gbp","-143.26","0.00","-143.26","payout","txn_1Dtm1nFRfR20eY7xPZ0R23tc","STRIPE PAYOUT","2019-01-23 00:00:00","paid"
"po_1Du8LyFRfR20eY7x6O0PYBE2","2019-01-24 00:00:00","gbp","854.46","0.00","854.46","payout","txn_1Du8LyFRfR20eY7xRTqiv094","STRIPE PAYOUT","2019-01-24 00:00:00","paid"
"po_1DurUIFRfR20eY7x26RkhGHz","2019-01-26 00:00:00","gbp","270.95","0.00","270.95","payout","txn_1DurUIFRfR20eY7xd0LlnvhS","STRIPE PAYOUT","2019-01-28 00:00:00","paid"
