,effective_at_utc,currency,gross,fee,net,reporting_category,balance_transaction_id,description,payout_expected_arrival_date,payout_status
0,2019-01-11 00:00:00,gbp,285.74,0.0,285.74,payout,txn_1DpRCfFRfR20eY7xy0XbCdKL,STRIPE PAYOUT,2019-01-11 00:00:00,paid
1,2019-01-14 00:00:00,gbp,221.65,0.0,221.65,payout,txn_1DqVtSFRfR20eY7xYnxAnVFK,STRIPE PAYOUT,2019-01-14 00:00:00,paid
2,2019-01-16 00:00:00,gbp,811.46,0.0,811.46,payout,txn_1DrEUUFRfR20eY7xkAOYpkLN,STRIPE PAYOUT,2019-01-16 00:00:00,paid
3,2019-01-17 00:00:00,gbp,43.18,0.0,43.18,payout,txn_1DrbMoFRfR20eY7xEzMpS8oV,STRIPE PAYOUT,2019-01-17 00:00:00,paid
4,2019-01-18 00:00:00,gbp,689.23,0.0,689.23,payout,txn_1DryMkFRfR20eY7xq67arpHy,STRIPE PAYOUT,2019-01-18 00:00:00,paid
5,2019-01-20 00:00:00,gbp,346.48,0.0,346.48,payout,txn_1DsgdWFRfR20eY7x0ctpL713,STRIPE PAYOUT,2019-01-21 00:00:00,paid
6,2019-01-21 00:00:00,gbp,488.45,0.0,488.45,payout,txn_1Dt2t4FRfR20eY7xIh1TjPIk,STRIPE PAYOUT,2019-01-21 00:00:00,paid
7,2019-01-22 00:00:00,gbp,825.17,0.0,825.17,payout,txn_1DtPVAFRfR20eY7xqr4vEcK5,STRIPE PAYOUT,2019-01-22 00:00:00,paid
8,2019-01-23 00:00:00,gbp,-143.26,0.0,-143.26,payout,txn_1Dtm1nFRfR20eY7xPZ0R23tc,STRIPE PAYOUT,2019-01-23 00:00:00,paid
9,2019-01-24 00:00:00,gbp,854.46,0.0,854.46,payout,txn_1Du8LyFRfR20eY7xRTqiv094,STRIPE PAYOUT,2019-01-24 00:00:00,paid
10,2019-01-26 00:00:00,gbp,270.95,0.0,270.95,payout,txn_1DurUIFRfR20eY7xd0LlnvhS,STRIPE PAYOUT,2019-01-28 00:00:00,paid
11,2019-01-28 00:00:00,gbp,177.28,0.0,177.28,payout,txn_1DvaDZFRfR20eY7xTzC7O5cP,STRIPE PAYOUT,2019-01-28 00:00:00,paid
12,2019-01-29 00:00:00,gbp,408.79,0.0,408.79,payout,txn_1DvwgsFRfR20eY7xpaxtmCLs,STRIPE PAYOUT,2019-01-29 00:00:00,paid
13,2019-01-30 00:00:00,gbp,-117.13,0.0,-117.13,payout,txn_1DwJkiFRfR20eY7xsBgzd3r3,STRIPE PAYOUT,2019-01-30 00:00:00,paid
